ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
GBR,United Kingdom,2000,4.1,1.3,0.0,0.1,0.0,5.0,3.0,18.9
USA,United States of America,2000,3.1,2.0,0.0,0.1,0.0,11.4,0.9,22.2
URY,Uruguay,2000,8.8,3.1,0.0,0.4,0.0,7.4,1.2,17.2
UZB,Uzbekistan,2000,18.7,11.0,0.0,0.2,0.0,5.3,2.9,15.6
VUT,Vanuatu,2000,15.6,15.6,7.9,0.0,0.0,5.2,1.4,7.7
VEN,Venezuela,2000,8.1,10.4,0.1,0.2,0.0,6.5,1.9,13.5
VNM,Vietnam,2000,19.2,13.9,0.2,0.2,6.7,3.4,1.5,11.1
YEM,Yemen,2000,21.9,14.8,1.2,0.0,5.2,5.6,3.0,11.8
ZMB,Zambia,2000,16.5,14.4,15.0,11.2,4.8,3.3,2.8,9.8
ZWE,Zimbabwe,2000,12.3,8.7,3.4,41.2,0.3,2.9,1.9,8.6
